                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.5649,                 1.0278,                 1.0094,                0.07568,                0.79638,                0.14902,                0.11276,                 1.0039,                 196.65,                0.62981,              0.0088516,              0.0088516,              0.0088516
                     60,                 1.5632,                 1.0263,                 1.0092,                0.07891,                 0.7792,                0.09979,                 0.0709,                 1.0338,                 202.17,                0.63693,              0.0088318,              0.0088318,              0.0088318
                     61,                 1.5604,                 1.0116,                 1.0077,                0.07609,                0.80978,                0.10906,                0.07728,                 1.0136,                 198.87,                0.63788,               0.008812,               0.008812,               0.008812
                     62,                 1.5534,                 1.0171,                 1.0039,                0.12247,                   0.38,                0.13307,                0.10072,                0.96414,                 196.67,                0.62094,              0.0087922,              0.0087922,              0.0087922
                     63,                 1.5561,                   1.02,                  1.008,                0.08406,                0.85782,                0.14336,                0.10023,                 1.0159,                  193.6,                0.63032,              0.0087724,              0.0087724,              0.0087724
                     64,                 1.5449,                 1.0125,                 1.0058,                0.07528,                0.76934,                0.14549,                0.11119,                 1.0154,                 201.16,                0.63453,              0.0087526,              0.0087526,              0.0087526
                     65,                 1.5365,                0.99484,                 1.0029,                0.07341,                0.69746,                0.13001,                0.09599,                 1.0363,                 197.57,                0.63798,              0.0087328,              0.0087328,              0.0087328
                     66,                 1.5464,                 1.0046,                 1.0085,                0.07345,                0.79795,                0.14274,                0.10567,                0.96884,                 189.87,                 0.6218,               0.008713,               0.008713,               0.008713
                     67,                 1.5459,                0.99615,                 1.0064,                0.07511,                0.78438,                0.14722,                 0.1132,                0.97996,                 189.22,                0.63016,              0.0086932,              0.0086932,              0.0086932
                     68,                 1.5388,                  1.007,                 1.0011,                0.07738,                 0.7847,                 0.1039,                0.07503,                 1.0217,                  207.8,                0.63339,              0.0086734,              0.0086734,              0.0086734
                     69,                 1.5273,                0.98442,                 1.0009,                0.08903,                0.89176,                0.14499,                0.09697,                 1.0037,                 200.66,                0.62963,              0.0086536,              0.0086536,              0.0086536
                     70,                 1.5301,                 1.0021,                 1.0016,                0.07468,                0.79182,                0.12373,                0.09186,                 1.0037,                 198.64,                0.63233,              0.0086338,              0.0086338,              0.0086338
                     71,                 1.5283,                 0.9858,                0.99602,                0.07723,                 0.8115,                0.13002,                 0.0983,                 1.0016,                 193.09,                0.62975,               0.008614,               0.008614,               0.008614
                     72,                 1.5153,                0.98947,                0.99648,                0.08935,                0.88791,                0.10735,                0.06609,                0.98915,                 203.72,                 0.6279,              0.0085942,              0.0085942,              0.0085942
                     73,                  1.527,                0.98681,                0.99745,                0.07611,                0.81225,                0.11416,                0.08508,                 1.0176,                  189.1,                0.62832,              0.0085744,              0.0085744,              0.0085744
                     74,                 1.5137,                0.98606,                 1.0013,                  0.077,                0.76607,                0.12942,                0.09699,                0.99473,                 213.87,                 0.6303,              0.0085546,              0.0085546,              0.0085546
                     75,                 1.5166,                0.97203,                0.99982,                0.07662,                0.75506,                0.12828,                0.09636,                 1.0171,                 200.41,                0.62991,              0.0085348,              0.0085348,              0.0085348
                     76,                 1.5168,                0.98136,                0.99583,                0.07527,                0.79819,                0.10454,                0.07459,                0.99752,                 205.56,                0.62442,               0.008515,               0.008515,               0.008515
                     77,                 1.5098,                0.97653,                0.99372,                0.07499,                 0.7776,                0.13845,                0.10668,                0.96668,                 184.61,                0.61697,              0.0084952,              0.0084952,              0.0084952
                     78,                 1.5044,                0.97393,                0.99778,                0.08969,                0.86234,                0.13551,                0.09191,                0.98662,                 202.56,                0.62109,              0.0084754,              0.0084754,              0.0084754
                     79,                 1.5011,                0.97168,                0.99535,                0.07488,                0.79192,                0.14644,                0.11446,                0.97281,                 226.17,                0.62074,              0.0084556,              0.0084556,              0.0084556
                     80,                 1.5086,                0.96605,                0.99828,                0.07446,                 0.7767,                 0.1152,                0.08588,                0.98132,                 208.78,                0.62262,              0.0084358,              0.0084358,              0.0084358
                     81,                 1.5027,                0.98132,                0.99584,                0.07042,                0.71441,                 0.1208,                0.09466,                0.98403,                  199.3,                0.62256,               0.008416,               0.008416,               0.008416
                     82,                 1.5044,                0.97351,                0.99499,                0.08803,                0.89173,                0.12735,                0.08488,                 1.0065,                 202.38,                0.63309,              0.0083962,              0.0083962,              0.0083962
                     83,                 1.5019,                0.95078,                0.99396,                0.09044,                0.85611,                0.12074,                0.07122,                0.99758,                 234.21,                 0.6233,              0.0083764,              0.0083764,              0.0083764
                     84,                 1.4945,                 0.9584,                0.99333,                0.09406,                0.88791,                0.14019,                0.09565,                0.96966,                 213.44,                0.61516,              0.0083566,              0.0083566,              0.0083566
                     85,                 1.4967,                0.96447,                0.98584,                 0.0762,                0.78922,                0.10589,                0.07747,                0.97565,                 212.62,                0.62125,              0.0083368,              0.0083368,              0.0083368
