                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 1.3808,                0.86674,                0.96177,                0.07621,                 0.7699,                0.12849,                  0.101,                0.98392,                 230.83,                 0.6183,             7.5734e-05,             7.5734e-05,             7.5734e-05
                     90,                 1.3862,                0.88126,                0.96424,                0.07274,                0.73238,                0.12111,                0.08974,                0.98461,                 219.39,                0.62072,             6.9913e-05,             6.9913e-05,             6.9913e-05
                     91,                 1.4295,                0.94034,                0.97947,                0.08154,                 0.9352,                0.12341,                 0.0886,                0.99607,                 217.52,                0.62881,             6.4092e-05,             6.4092e-05,             6.4092e-05
                     92,                 1.3998,                0.90231,                0.96993,                0.07501,                0.75632,                0.11112,                0.08348,                0.98515,                 215.34,                0.62384,             5.8271e-05,             5.8271e-05,             5.8271e-05
                     93,                 1.3919,                0.89475,                0.96826,                0.07703,                0.80356,                0.11098,                0.08183,                0.98179,                 211.52,                0.62081,              5.245e-05,              5.245e-05,              5.245e-05
                     94,                 1.3752,                0.87484,                0.96796,                0.07845,                0.81403,                0.11264,                0.08436,                0.97935,                 211.41,                0.62092,             4.6628e-05,             4.6628e-05,             4.6628e-05
                     95,                 1.3796,                0.88374,                 0.9631,                0.07616,                0.80135,                 0.1128,                0.08427,                0.98378,                 222.35,                0.62244,             4.0807e-05,             4.0807e-05,             4.0807e-05
                     96,                 1.3784,                0.87366,                0.96831,                0.08279,                0.85994,                0.11671,                0.08408,                0.99518,                 216.49,                0.62452,             3.4986e-05,             3.4986e-05,             3.4986e-05
                     97,                  1.363,                0.86615,                0.96126,                0.07666,                0.80514,                0.10567,                 0.0774,                0.98827,                 213.15,                0.62372,             2.9165e-05,             2.9165e-05,             2.9165e-05
                     98,                 1.3631,                0.88552,                0.96315,                0.08923,                0.83462,                0.11892,                0.08249,                0.99122,                 210.01,                 0.6232,             2.3344e-05,             2.3344e-05,             2.3344e-05
                     99,                  1.353,                0.85194,                0.96074,                0.08229,                0.87452,                0.11707,                0.08268,                0.99217,                 224.48,                0.62271,             1.7522e-05,             1.7522e-05,             1.7522e-05
                    100,                 1.3647,                0.86699,                0.96329,                0.07648,                0.79818,                0.11087,                 0.0813,                0.99289,                 216.94,                0.62379,             1.1701e-05,             1.1701e-05,             1.1701e-05
