                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.5972,                0.90278,                 1.0646,                 1.9027,                 1.1526,                 1.0451,                0.89183,                0.85868,                 0.9204,                0.61697,                 1.6273,                0.88897,                 1.0775,                 1.8625,                 1.1114,                 1.0578,              0.0091486,              0.0091486,              0.0091486
                     46,                 1.5861,                0.88434,                 1.0577,                 1.8933,                 1.1256,                 1.0373,                0.86179,                0.86759,                0.88953,                0.61569,                 1.6314,                0.88719,                 1.0782,                 1.8692,                 1.1593,                   1.06,              0.0091288,              0.0091288,              0.0091288
                     47,                 1.5887,                0.88061,                 1.0581,                 1.8955,                 1.1254,                 1.0375,                0.92815,                0.83564,                0.92217,                0.61913,                 1.6286,                0.87608,                 1.0788,                 1.8796,                 1.1241,                 1.0593,               0.009109,               0.009109,               0.009109
                     48,                 1.5795,                0.87294,                 1.0583,                 1.8757,                 1.0987,                 1.0374,                0.91746,                 0.8524,                0.92193,                0.62439,                 1.6054,                0.85362,                 1.0798,                 1.8543,                 1.0731,                 1.0568,              0.0090892,              0.0090892,              0.0090892
                     49,                 1.5815,                0.87317,                 1.0535,                 1.8953,                 1.1098,                 1.0315,                0.90782,                0.87031,                0.92269,                0.61974,                 1.6192,                0.85159,                 1.0757,                 1.8725,                 1.0886,                 1.0578,              0.0090694,              0.0090694,              0.0090694
                     50,                 1.5781,                 0.8703,                 1.0547,                  1.886,                 1.1056,                 1.0339,                0.89957,                0.87989,                0.92595,                0.62679,                 1.5919,                0.85377,                 1.0639,                 1.8429,                 1.1004,                 1.0487,              0.0090496,              0.0090496,              0.0090496
                     51,                 1.5749,                0.87538,                 1.0533,                 1.8836,                 1.1171,                 1.0272,                0.89949,                0.82369,                 0.8951,                0.60186,                 1.6189,                0.86271,                 1.0758,                 1.8822,                  1.097,                   1.06,              0.0090298,              0.0090298,              0.0090298
                     52,                  1.571,                0.85906,                 1.0501,                  1.872,                 1.0813,                   1.03,                0.88365,                 0.8788,                0.91577,                0.62433,                 1.5897,                0.83991,                 1.0677,                 1.8469,                 1.0533,                 1.0524,                0.00901,                0.00901,                0.00901
                     53,                 1.5722,                0.87323,                 1.0536,                 1.8802,                 1.1001,                 1.0349,                0.90565,                 0.8439,                0.90871,                0.60814,                 1.5824,                0.84981,                 1.0578,                 1.8501,                 1.0564,                 1.0542,              0.0089902,              0.0089902,              0.0089902
                     54,                 1.5716,                0.86583,                 1.0584,                 1.8773,                 1.0976,                 1.0402,                0.91402,                0.86995,                   0.92,                0.62357,                 1.6065,                0.84307,                 1.0705,                 1.8648,                 1.0491,                 1.0574,              0.0089704,              0.0089704,              0.0089704
                     55,                 1.5574,                0.85488,                 1.0483,                 1.8724,                 1.0871,                 1.0304,                0.91326,                0.86207,                0.92536,                0.62778,                 1.6121,                 0.8487,                 1.0764,                 1.8465,                 1.0852,                 1.0569,              0.0089506,              0.0089506,              0.0089506
                     56,                 1.5676,                0.85283,                 1.0496,                 1.8777,                  1.079,                 1.0269,                0.93599,                0.85631,                0.92883,                0.63433,                 1.6069,                0.82694,                 1.0719,                 1.8701,                 1.0381,                 1.0595,              0.0089308,              0.0089308,              0.0089308
                     57,                 1.5634,                0.85306,                 1.0503,                 1.8729,                 1.0865,                 1.0302,                0.94829,                0.85668,                0.92594,                0.63369,                 1.5994,                0.83612,                 1.0696,                 1.8711,                 1.0175,                 1.0566,               0.008911,               0.008911,               0.008911
                     58,                 1.5643,                0.84874,                 1.0521,                 1.8701,                 1.0733,                  1.033,                0.90008,                0.83976,                 0.8948,                 0.6143,                 1.6026,                0.82596,                 1.0726,                 1.8466,                 1.0268,                  1.059,              0.0088912,              0.0088912,              0.0088912
                     59,                 1.5641,                0.85355,                  1.047,                 1.8778,                 1.0754,                 1.0266,                0.87742,                0.90578,                0.92103,                0.62654,                 1.6183,                0.84897,                 1.0743,                 1.8773,                 1.0574,                 1.0612,              0.0088714,              0.0088714,              0.0088714
                     60,                 1.5469,                  0.835,                 1.0417,                 1.8536,                 1.0425,                 1.0243,                 0.8996,                0.88382,                0.92984,                0.63274,                 1.5982,                 0.8424,                 1.0658,                 1.8803,                 1.0546,                 1.0587,              0.0088516,              0.0088516,              0.0088516
                     61,                 1.5339,                0.83163,                 1.0404,                 1.8491,                 1.0472,                 1.0213,                0.93315,                0.86691,                0.93145,                0.62833,                 1.6027,                0.85499,                 1.0664,                  1.859,                 1.0775,                 1.0557,              0.0088318,              0.0088318,              0.0088318
                     62,                 1.5517,                0.84112,                 1.0449,                 1.8598,                 1.0633,                 1.0257,                0.92035,                0.84864,                 0.9244,                0.63914,                 1.5895,                 0.8446,                 1.0671,                 1.8629,                 1.0537,                 1.0569,               0.008812,               0.008812,               0.008812
                     63,                 1.5444,                0.83231,                 1.0425,                 1.8558,                 1.0492,                 1.0254,                0.94024,                0.89148,                0.93145,                 0.6289,                 1.6004,                0.82589,                 1.0738,                 1.8556,                 1.0227,                 1.0559,              0.0087922,              0.0087922,              0.0087922
                     64,                 1.5445,                0.82644,                 1.0445,                 1.8536,                 1.0347,                 1.0275,                0.87951,                0.90369,                0.93363,                  0.638,                 1.5716,                0.83291,                 1.0667,                 1.8428,                 1.0494,                  1.056,              0.0087724,              0.0087724,              0.0087724
                     65,                 1.5377,                0.81837,                  1.038,                 1.8542,                 1.0375,                 1.0213,                0.93578,                0.89271,                0.93442,                0.65115,                 1.5951,                 0.8229,                 1.0608,                   1.85,                 1.0339,                 1.0472,              0.0087526,              0.0087526,              0.0087526
                     66,                 1.5273,                0.82342,                 1.0367,                 1.8304,                 1.0289,                 1.0216,                0.92115,                0.87093,                0.93082,                0.65791,                 1.5893,                 0.8354,                 1.0643,                 1.8572,                 1.0708,                 1.0511,              0.0087328,              0.0087328,              0.0087328
                     67,                 1.5371,                 0.8243,                 1.0441,                 1.8343,                 1.0299,                 1.0257,                 0.9262,                0.87046,                0.93716,                0.64538,                 1.5902,                0.81128,                 1.0677,                 1.8431,                 1.0221,                 1.0518,               0.008713,               0.008713,               0.008713
                     68,                 1.5394,                0.82034,                 1.0381,                 1.8524,                 1.0193,                 1.0194,                0.91134,                0.88146,                0.93056,                0.64796,                 1.5726,                0.82898,                 1.0582,                 1.8564,                 1.0585,                 1.0517,              0.0086932,              0.0086932,              0.0086932
                     69,                 1.5268,                0.81611,                  1.042,                 1.8424,                 1.0315,                 1.0231,                0.93804,                0.85797,                0.92819,                0.62862,                 1.5794,                0.82984,                 1.0638,                 1.8422,                 1.0512,                 1.0517,              0.0086734,              0.0086734,              0.0086734
                     70,                 1.5252,                0.81302,                 1.0325,                 1.8389,                 1.0194,                 1.0152,                0.91251,                0.89277,                0.92947,                0.63745,                  1.598,                0.82551,                 1.0666,                 1.8568,                 1.0371,                 1.0542,              0.0086536,              0.0086536,              0.0086536
                     71,                 1.5166,                 0.8036,                  1.032,                 1.8318,                 1.0076,                 1.0156,                0.90201,                0.88391,                0.93378,                0.64068,                  1.569,                0.80784,                 1.0616,                 1.8347,                 1.0106,                 1.0493,              0.0086338,              0.0086338,              0.0086338
                     72,                 1.5133,                0.80265,                 1.0351,                 1.8205,                 1.0029,                 1.0218,                0.93778,                0.88383,                0.93586,                0.64758,                 1.5891,                0.82184,                 1.0632,                  1.856,                 1.0274,                 1.0532,               0.008614,               0.008614,               0.008614
                     73,                 1.5332,                0.81333,                 1.0437,                 1.8427,                  1.019,                 1.0235,                0.92545,                0.88914,                 0.9324,                0.63422,                 1.5668,                0.80737,                 1.0567,                 1.8551,                  1.006,                 1.0541,              0.0085942,              0.0085942,              0.0085942
                     74,                 1.5084,                0.79374,                 1.0324,                 1.8227,                0.99225,                 1.0163,                0.91503,                0.88914,                0.93147,                 0.6435,                 1.5727,                 0.7979,                 1.0595,                 1.8343,                 1.0134,                 1.0475,              0.0085744,              0.0085744,              0.0085744
                     75,                 1.5079,                0.79798,                 1.0316,                 1.8234,                 1.0053,                 1.0161,                0.91652,                0.88663,                0.93747,                0.65108,                 1.5771,                0.79876,                 1.0582,                 1.8554,                0.99228,                 1.0511,              0.0085546,              0.0085546,              0.0085546
                     76,                 1.5154,                0.79712,                 1.0314,                 1.8271,                0.99128,                 1.0151,                0.88396,                0.89729,                0.92763,                0.64176,                 1.5857,                0.81636,                 1.0619,                 1.8546,                 1.0147,                 1.0542,              0.0085348,              0.0085348,              0.0085348
                     77,                 1.5197,                0.79674,                 1.0359,                 1.8328,                 1.0037,                 1.0171,                0.94186,                0.83077,                0.91976,                0.64169,                 1.5754,                0.80384,                 1.0608,                 1.8467,                 1.0166,                 1.0512,               0.008515,               0.008515,               0.008515
                     78,                 1.5093,                0.79802,                 1.0306,                 1.8238,                 1.0146,                 1.0155,                0.90861,                0.86353,                0.92566,                0.64368,                 1.5726,                 0.7902,                 1.0535,                 1.8328,                 1.0009,                  1.043,              0.0084952,              0.0084952,              0.0084952
                     79,                 1.5013,                0.78878,                 1.0306,                 1.8308,                0.99368,                 1.0156,                0.93038,                0.85505,                0.93259,                0.63845,                 1.5788,                0.79861,                 1.0689,                 1.8485,                0.98466,                 1.0534,              0.0084754,              0.0084754,              0.0084754
