                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.99651,                 1.7632,                0.79972,                 1.0136,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 822.88,                      0,              0.0066835,              0.0066835,              0.0066835
                     69,                0.99127,                 1.7524,                0.79082,                 1.0145,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  822.9,                      0,               0.006634,               0.006634,               0.006634
                     70,                0.98888,                 1.7445,                0.79336,                 1.0127,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 823.12,                      0,              0.0065845,              0.0065845,              0.0065845
                     71,                0.99272,                 1.7577,                0.79085,                  1.012,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 824.02,                      0,               0.006535,               0.006535,               0.006535
                     72,                0.99202,                  1.751,                0.79288,                 1.0136,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  824.5,                      0,              0.0064855,              0.0064855,              0.0064855
                     73,                0.99037,                 1.7425,                0.78865,                 1.0131,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 824.23,                      0,               0.006436,               0.006436,               0.006436
                     74,                0.98557,                 1.7456,                0.78542,                 1.0108,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    826,                      0,              0.0063865,              0.0063865,              0.0063865
                     75,                0.98888,                 1.7431,                0.78926,                 1.0105,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 825.37,                      0,               0.006337,               0.006337,               0.006337
                     76,                0.98869,                 1.7439,                 0.7842,                 1.0115,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 827.03,                      0,              0.0062875,              0.0062875,              0.0062875
                     77,                0.98338,                 1.7389,                 0.7777,                 1.0082,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 827.43,                      0,               0.006238,               0.006238,               0.006238
                     78,                0.98279,                 1.7376,                0.77954,                 1.0097,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 828.23,                      0,              0.0061885,              0.0061885,              0.0061885
                     79,                0.98136,                 1.7383,                0.78012,                 1.0086,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  828.6,                      0,               0.006139,               0.006139,               0.006139
                     80,                0.98135,                 1.7341,                 0.7779,                 1.0097,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 830.35,                      0,              0.0060895,              0.0060895,              0.0060895
                     81,                0.98399,                 1.7338,                0.78033,                  1.009,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 831.35,                      0,                0.00604,                0.00604,                0.00604
                     82,                0.98065,                 1.7309,                0.77542,                 1.0075,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 831.07,                      0,              0.0059905,              0.0059905,              0.0059905
                     83,                0.97874,                 1.7229,                0.77688,                 1.0094,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 830.93,                      0,               0.005941,               0.005941,               0.005941
                     84,                 0.9796,                 1.7289,                0.77186,                 1.0064,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 831.64,                      0,              0.0058915,              0.0058915,              0.0058915
                     85,                0.97692,                   1.73,                0.77319,                 1.0086,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 832.37,                      0,               0.005842,               0.005842,               0.005842
                     86,                0.97615,                 1.7275,                0.77022,                 1.0055,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    833,                      0,              0.0057925,              0.0057925,              0.0057925
                     87,                0.97828,                  1.724,                0.76812,                  1.006,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  834.4,                      0,               0.005743,               0.005743,               0.005743
                     88,                0.97358,                  1.721,                 0.7672,                 1.0044,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 834.93,                      0,              0.0056935,              0.0056935,              0.0056935
                     89,                0.97164,                  1.719,                0.76724,                 1.0049,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 835.35,                      0,               0.005644,               0.005644,               0.005644
                     90,                0.97321,                 1.7228,                0.76905,                 1.0039,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 836.55,                      0,              0.0055945,              0.0055945,              0.0055945
                     91,                0.97165,                 1.7208,                0.76575,                 1.0035,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 836.85,                      0,               0.005545,               0.005545,               0.005545
                     92,                 0.9678,                  1.713,                0.76224,                 1.0031,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 836.73,                      0,              0.0054955,              0.0054955,              0.0054955
                     93,                0.97026,                 1.7164,                0.76304,                 1.0014,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 837.58,                      0,               0.005446,               0.005446,               0.005446
                     94,                0.97002,                 1.7167,                0.76342,                 1.0037,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 838.05,                      0,              0.0053965,              0.0053965,              0.0053965
                     95,                 0.9689,                 1.7145,                 0.7589,                  1.001,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 837.94,                      0,               0.005347,               0.005347,               0.005347
                     96,                 0.9668,                   1.71,                0.75652,                  1.002,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 838.35,                      0,              0.0052975,              0.0052975,              0.0052975
                     97,                0.96753,                 1.7116,                0.75716,                 1.0009,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 838.35,                      0,               0.005248,               0.005248,               0.005248
                     98,                0.96604,                 1.7089,                0.76015,                 1.0016,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 837.85,                      0,              0.0051985,              0.0051985,              0.0051985
                     99,                0.96687,                 1.7023,                0.75379,                0.99959,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  838.7,                      0,               0.005149,               0.005149,               0.005149
                    100,                 0.9599,                 1.7003,                0.75035,                0.99686,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 838.34,                      0,              0.0050995,              0.0050995,              0.0050995
                    101,                  0.963,                 1.7049,                0.75253,                0.99929,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 838.24,                      0,                0.00505,                0.00505,                0.00505
