                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0421,                 1.8356,                0.86352,                 1.0384,                0.77536,                0.63401,                0.70766,                0.52993,                0.76596,                0.61942,                0.68702,                0.44865,                0.93073,                 1.7201,                0.75927,                 1.0281,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.0338,                 1.8239,                0.85974,                 1.0343,                0.78811,                0.63324,                0.70874,                0.53134,                   0.77,                 0.6202,                0.68585,                0.44923,                 0.9273,                 1.7186,                0.75618,                 1.0265,               0.008218,               0.008218,               0.008218
                     38,                 1.0336,                 1.8203,                0.85642,                 1.0346,                0.78015,                0.63738,                0.71052,                0.53313,                 0.7618,                0.62618,                0.68665,                0.45057,                0.92446,                 1.7143,                0.75617,                 1.0251,              0.0081685,              0.0081685,              0.0081685
                     39,                  1.036,                 1.8226,                0.85467,                 1.0353,                0.76804,                0.64626,                0.70972,                0.53257,                0.77514,                0.62118,                0.68628,                0.44931,                0.92401,                 1.7124,                0.75414,                 1.0249,               0.008119,               0.008119,               0.008119
                     40,                 1.0325,                 1.8199,                 0.8534,                 1.0343,                0.78553,                0.63495,                0.70923,                0.53265,                0.76722,                0.62239,                0.68554,                0.45077,                0.92326,                 1.7101,                0.75286,                 1.0248,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.0325,                 1.8149,                0.84791,                 1.0328,                0.78181,                0.63603,                0.70859,                0.53168,                0.78459,                0.61239,                0.68477,                0.45065,                0.92148,                 1.7089,                0.75103,                 1.0235,                0.00802,                0.00802,                0.00802
                     42,                 1.0263,                 1.8009,                0.84716,                  1.032,                0.79894,                0.63127,                0.70812,                0.53119,                 0.7833,                0.61802,                0.68403,                0.45154,                0.92026,                  1.706,                0.74958,                 1.0227,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.0213,                 1.7988,                0.83862,                 1.0282,                0.79501,                0.63381,                0.70962,                0.53369,                0.77796,                0.62009,                0.68637,                0.45241,                0.91901,                 1.7035,                0.74822,                 1.0218,               0.007921,               0.007921,               0.007921
                     44,                 1.0273,                 1.8062,                0.84602,                   1.03,                0.79127,                0.63342,                0.71109,                0.53592,                0.77763,                0.61958,                 0.6896,                0.45522,                0.91766,                 1.7018,                0.74619,                 1.0216,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.0216,                 1.8004,                0.83794,                 1.0289,                0.78038,                0.64179,                0.71347,                0.53798,                0.75957,                0.63109,                0.69095,                0.45597,                0.91635,                 1.6995,                0.74462,                 1.0215,               0.007822,               0.007822,               0.007822
                     46,                 1.0204,                 1.7978,                0.83203,                 1.0277,                 0.7884,                0.63822,                0.71588,                0.53916,                0.76582,                0.62934,                0.69366,                0.45687,                0.91598,                 1.6991,                0.74325,                 1.0209,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.0169,                 1.7918,                0.83119,                 1.0267,                0.78844,                0.63693,                0.71609,                0.54054,                 0.7944,                0.61135,                0.69351,                0.45738,                 0.9137,                 1.6971,                 0.7424,                 1.0193,               0.007723,               0.007723,               0.007723
                     48,                 1.0178,                 1.7955,                 0.8336,                 1.0277,                0.78933,                0.63782,                0.71749,                0.54101,                 0.7718,                0.62414,                0.69426,                0.45858,                0.91272,                 1.6963,                0.74129,                 1.0187,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.0135,                 1.7875,                0.82549,                 1.0245,                0.79411,                0.64064,                0.71891,                0.54149,                0.77543,                0.62461,                0.69516,                0.45995,                0.91187,                 1.6943,                0.73976,                 1.0182,               0.007624,               0.007624,               0.007624
                     50,                 1.0156,                 1.7979,                0.82923,                 1.0243,                0.80094,                0.63875,                 0.7196,                0.54271,                 0.7842,                0.62792,                0.69852,                0.46044,                0.91099,                 1.6925,                0.73825,                 1.0176,              0.0075745,              0.0075745,              0.0075745
                     51,                  1.011,                 1.7867,                0.82581,                  1.025,                0.80706,                0.63471,                0.71998,                0.54259,                0.79019,                0.62427,                0.69863,                0.46143,                0.90991,                 1.6916,                0.73686,                 1.0171,               0.007525,               0.007525,               0.007525
                     52,                 1.0117,                  1.788,                0.82619,                 1.0248,                0.80781,                0.63378,                0.72019,                0.54267,                0.79044,                0.62433,                0.69796,                0.46134,                0.90961,                 1.6909,                0.73591,                 1.0171,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.0096,                 1.7793,                0.82247,                 1.0236,                0.79766,                0.63636,                0.72008,                0.54268,                0.78674,                 0.6215,                0.69652,                0.46132,                0.90902,                   1.69,                0.73578,                 1.0167,               0.007426,               0.007426,               0.007426
                     54,                 1.0108,                 1.7835,                0.81973,                 1.0215,                 0.7962,                0.63706,                0.72016,                  0.543,                0.78193,                0.62483,                0.69734,                0.46191,                0.90877,                 1.6893,                0.73535,                 1.0165,              0.0073765,              0.0073765,              0.0073765
                     55,                  1.007,                 1.7807,                0.81802,                 1.0201,                0.81277,                0.63011,                0.72137,                0.54408,                0.79659,                 0.6201,                0.69805,                0.46279,                0.90824,                 1.6884,                0.73433,                 1.0162,               0.007327,               0.007327,               0.007327
                     56,                 1.0065,                 1.7816,                0.81661,                 1.0215,                0.80507,                0.63371,                0.72188,                0.54484,                0.79836,                0.61953,                0.69803,                0.46214,                0.90813,                 1.6876,                0.73388,                 1.0162,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.0093,                 1.7777,                0.81724,                 1.0215,                0.80562,                0.63473,                0.72183,                 0.5448,                0.79116,                0.62402,                0.69921,                0.46306,                 0.9076,                 1.6873,                0.73318,                 1.0159,               0.007228,               0.007228,               0.007228
                     58,                 1.0089,                 1.7741,                0.81105,                 1.0213,                0.80554,                0.63702,                0.72236,                0.54491,                0.79281,                 0.6229,                0.69941,                  0.463,                0.90686,                 1.6871,                0.73284,                 1.0156,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.0045,                 1.7737,                0.80858,                 1.0186,                0.80775,                0.63681,                0.72293,                0.54612,                0.79412,                0.62464,                0.70003,                0.46291,                 0.9063,                 1.6865,                0.73209,                 1.0154,               0.007129,               0.007129,               0.007129
                     60,                  1.002,                 1.7664,                 0.8074,                 1.0177,                0.81065,                0.63699,                0.72339,                0.54649,                0.79967,                0.62374,                0.70095,                 0.4636,                0.90624,                  1.686,                0.73211,                 1.0154,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.0032,                 1.7656,                0.80712,                 1.0192,                0.80628,                0.63942,                0.72376,                 0.5463,                0.79486,                0.62612,                0.70062,                0.46301,                0.90614,                 1.6853,                0.73145,                 1.0152,                0.00703,                0.00703,                0.00703
                     62,                 1.0038,                 1.7739,                 0.8075,                 1.0181,                 0.8122,                 0.6386,                0.72392,                0.54721,                0.79451,                0.62704,                0.70029,                0.46366,                 0.9061,                 1.6849,                0.73123,                 1.0152,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.0027,                 1.7675,                0.80847,                 1.0173,                0.81323,                0.63879,                0.72409,                0.54782,                0.79579,                0.62742,                0.70084,                0.46381,                0.90591,                 1.6848,                0.73064,                 1.0151,               0.006931,               0.006931,               0.006931
                     64,                0.99512,                 1.7609,                0.80094,                 1.0167,                0.80862,                0.63819,                0.72402,                0.54825,                0.79372,                0.62598,                0.70062,                0.46394,                0.90538,                 1.6839,                0.73024,                 1.0148,              0.0068815,              0.0068815,              0.0068815
                     65,                0.99836,                 1.7596,                0.80082,                 1.0149,                0.81013,                0.63698,                0.72419,                0.54833,                0.79493,                0.62561,                0.70009,                 0.4638,                0.90505,                  1.683,                 0.7299,                 1.0148,               0.006832,               0.006832,               0.006832
                     66,                0.99518,                 1.7571,                0.79842,                 1.0144,                0.80724,                0.63869,                0.72405,                0.54812,                 0.7938,                0.62556,                0.70079,                0.46402,                0.90484,                 1.6823,                0.72955,                 1.0148,              0.0067825,              0.0067825,              0.0067825
                     67,                0.99095,                  1.749,                0.79511,                 1.0149,                0.80948,                0.63693,                  0.724,                0.54841,                0.79371,                0.62475,                0.70071,                0.46444,                0.90462,                 1.6824,                0.72906,                 1.0145,               0.006733,               0.006733,               0.006733
                     68,                0.99651,                 1.7632,                0.79972,                 1.0136,                 0.8079,                0.63864,                0.72457,                0.54882,                0.79063,                 0.6259,                0.70024,                0.46452,                0.90422,                 1.6819,                0.72872,                 1.0141,              0.0066835,              0.0066835,              0.0066835
                     69,                0.99127,                 1.7524,                0.79082,                 1.0145,                0.81016,                0.63753,                0.72465,                0.54892,                0.79261,                0.62532,                0.70088,                0.46479,                0.90397,                 1.6812,                0.72834,                  1.014,               0.006634,               0.006634,               0.006634
                     70,                0.98888,                 1.7445,                0.79336,                 1.0127,                0.80724,                0.63925,                0.72496,                0.54897,                 0.7889,                0.62681,                0.70096,                0.46522,                0.90348,                 1.6808,                0.72793,                 1.0138,              0.0065845,              0.0065845,              0.0065845
                     71,                0.99272,                 1.7577,                0.79085,                  1.012,                0.81097,                0.63722,                0.72498,                0.54923,                0.79262,                0.62501,                0.70062,                0.46516,                0.90301,                 1.6805,                0.72732,                 1.0136,               0.006535,               0.006535,               0.006535
                     72,                0.99202,                  1.751,                0.79288,                 1.0136,                0.80783,                0.63784,                0.72471,                0.54953,                0.78549,                0.62819,                0.70086,                0.46586,                0.90265,                 1.6801,                0.72693,                 1.0134,              0.0064855,              0.0064855,              0.0064855
                     73,                0.99037,                 1.7425,                0.78865,                 1.0131,                0.79896,                0.64372,                0.72501,                0.55007,                0.78092,                0.63127,                0.70022,                0.46505,                0.90212,                 1.6795,                0.72609,                 1.0132,               0.006436,               0.006436,               0.006436
                     74,                0.98557,                 1.7456,                0.78542,                 1.0108,                0.79593,                0.64668,                0.72525,                0.55065,                0.76529,                0.64116,                0.70072,                0.46565,                0.90184,                 1.6792,                0.72567,                  1.013,              0.0063865,              0.0063865,              0.0063865
                     75,                0.98888,                 1.7431,                0.78926,                 1.0105,                0.79042,                0.64964,                0.72535,                  0.551,                0.76982,                0.63977,                0.70153,                0.46615,                 0.9015,                 1.6787,                0.72517,                 1.0129,               0.006337,               0.006337,               0.006337
                     76,                0.98869,                 1.7439,                 0.7842,                 1.0115,                0.79191,                0.65005,                0.72558,                0.55116,                0.77066,                0.63998,                0.70216,                 0.4666,                0.90106,                 1.6782,                0.72507,                 1.0125,              0.0062875,              0.0062875,              0.0062875
                     77,                0.98338,                 1.7389,                 0.7777,                 1.0082,                0.79375,                0.64987,                0.72568,                 0.5513,                0.77128,                0.63909,                0.70255,                0.46698,                  0.901,                 1.6783,                0.72472,                 1.0124,               0.006238,               0.006238,               0.006238
                     78,                0.98279,                 1.7376,                0.77954,                 1.0097,                0.79313,                0.65139,                0.72638,                0.55146,                0.77011,                0.63923,                0.70253,                0.46681,                0.90078,                 1.6779,                0.72418,                 1.0122,              0.0061885,              0.0061885,              0.0061885
                     79,                0.98136,                 1.7383,                0.78012,                 1.0086,                0.79072,                0.65211,                0.72641,                 0.5514,                0.77186,                0.63938,                 0.7026,                0.46715,                0.90059,                 1.6771,                 0.7238,                  1.012,               0.006139,               0.006139,               0.006139
                     80,                0.98135,                 1.7341,                 0.7779,                 1.0097,                0.80293,                0.64418,                0.72683,                0.55191,                0.77479,                0.63942,                0.70404,                0.46705,                0.90041,                 1.6773,                0.72332,                 1.0118,              0.0060895,              0.0060895,              0.0060895
                     81,                0.98399,                 1.7338,                0.78033,                  1.009,                0.80621,                0.64344,                0.72674,                0.55225,                0.77447,                0.63802,                0.70413,                0.46731,                0.89997,                 1.6763,                0.72272,                 1.0115,                0.00604,                0.00604,                0.00604
                     82,                0.98065,                 1.7309,                0.77542,                 1.0075,                0.80906,                0.64335,                0.72716,                0.55221,                0.79059,                0.62962,                0.70374,                 0.4677,                0.89972,                  1.676,                0.72227,                 1.0113,              0.0059905,              0.0059905,              0.0059905
                     83,                0.97874,                 1.7229,                0.77688,                 1.0094,                0.80178,                0.64648,                0.72739,                0.55248,                0.78969,                 0.6295,                0.70439,                0.46776,                 0.8997,                 1.6758,                 0.7218,                 1.0113,               0.005941,               0.005941,               0.005941
                     84,                 0.9796,                 1.7289,                0.77186,                 1.0064,                0.80054,                0.64766,                0.72709,                0.55223,                0.78215,                0.63487,                0.70482,                0.46811,                0.89958,                 1.6751,                 0.7214,                 1.0111,              0.0058915,              0.0058915,              0.0058915
                     85,                0.97692,                   1.73,                0.77319,                 1.0086,                0.80122,                0.64628,                0.72677,                0.55238,                0.78439,                  0.634,                0.70534,                0.46866,                0.89942,                 1.6748,                0.72093,                 1.0111,               0.005842,               0.005842,               0.005842
                     86,                0.97615,                 1.7275,                0.77022,                 1.0055,                0.80589,                0.64387,                0.72681,                0.55259,                0.78626,                0.63262,                0.70561,                0.46859,                0.89922,                 1.6748,                 0.7206,                  1.011,              0.0057925,              0.0057925,              0.0057925
                     87,                0.97828,                  1.724,                0.76812,                  1.006,                0.80041,                0.64626,                0.72684,                0.55307,                0.78398,                0.63329,                0.70584,                0.46882,                0.89897,                 1.6745,                0.72047,                 1.0111,               0.005743,               0.005743,               0.005743
                     88,                0.97358,                  1.721,                 0.7672,                 1.0044,                0.80239,                0.64554,                0.72777,                  0.553,                0.78478,                0.63357,                0.70611,                0.46893,                0.89858,                 1.6743,                0.72003,                 1.0108,              0.0056935,              0.0056935,              0.0056935
                     89,                0.97164,                  1.719,                0.76724,                 1.0049,                 0.7951,                0.64879,                0.72771,                0.55371,                0.77903,                0.63751,                0.70623,                0.46888,                0.89824,                  1.674,                0.71994,                 1.0106,               0.005644,               0.005644,               0.005644
                     90,                0.97321,                 1.7228,                0.76905,                 1.0039,                0.79546,                0.65074,                 0.7282,                0.55381,                0.78648,                0.63543,                0.70618,                0.46913,                0.89776,                  1.674,                 0.7195,                 1.0102,              0.0055945,              0.0055945,              0.0055945
                     91,                0.97165,                 1.7208,                0.76575,                 1.0035,                0.79698,                0.65118,                0.72852,                0.55437,                0.78682,                0.63512,                0.70599,                0.46927,                0.89756,                 1.6735,                0.71906,                 1.0101,               0.005545,               0.005545,               0.005545
                     92,                 0.9678,                  1.713,                0.76224,                 1.0031,                0.80242,                0.64964,                0.72861,                0.55406,                 0.7884,                0.63559,                0.70655,                0.46885,                0.89741,                 1.6731,                0.71893,                 1.0099,              0.0054955,              0.0054955,              0.0054955
                     93,                0.97026,                 1.7164,                0.76304,                 1.0014,                0.80049,                 0.6489,                0.72934,                0.55491,                0.79161,                 0.6347,                0.70708,                0.46973,                0.89704,                 1.6728,                 0.7187,                 1.0097,               0.005446,               0.005446,               0.005446
                     94,                0.97002,                 1.7167,                0.76342,                 1.0037,                0.80219,                0.64954,                0.73007,                0.55521,                0.79352,                0.63466,                 0.7074,                0.47001,                0.89686,                 1.6727,                0.71866,                 1.0094,              0.0053965,              0.0053965,              0.0053965
                     95,                 0.9689,                 1.7145,                 0.7589,                  1.001,                0.81094,                0.64687,                0.73027,                0.55509,                0.79419,                0.63472,                0.70755,                0.47015,                 0.8965,                  1.672,                 0.7183,                 1.0091,               0.005347,               0.005347,               0.005347
                     96,                 0.9668,                   1.71,                0.75652,                  1.002,                 0.8155,                 0.6443,                0.73023,                0.55544,                0.79924,                0.63122,                0.70744,                0.47034,                0.89596,                 1.6717,                0.71798,                 1.0089,              0.0052975,              0.0052975,              0.0052975
                     97,                0.96753,                 1.7116,                0.75716,                 1.0009,                0.81628,                0.64335,                0.73011,                0.55562,                0.79934,                0.63056,                 0.7067,                   0.47,                0.89543,                 1.6714,                0.71749,                 1.0084,               0.005248,               0.005248,               0.005248
                     98,                0.96604,                 1.7089,                0.76015,                 1.0016,                0.81292,                 0.6461,                0.73031,                0.55593,                0.79999,                0.62989,                0.70687,                0.47013,                0.89506,                 1.6712,                0.71707,                 1.0082,              0.0051985,              0.0051985,              0.0051985
                     99,                0.96687,                 1.7023,                0.75379,                0.99959,                0.81481,                0.64641,                0.73057,                0.55617,                0.80239,                0.62933,                0.70633,                0.47008,                0.89476,                 1.6708,                0.71656,                  1.008,               0.005149,               0.005149,               0.005149
                    100,                 0.9599,                 1.7003,                0.75035,                0.99686,                0.81074,                0.64788,                0.73091,                0.55619,                0.80588,                0.62987,                0.70716,                0.47048,                0.89456,                 1.6706,                0.71613,                 1.0078,              0.0050995,              0.0050995,              0.0050995
                    101,                  0.963,                 1.7049,                0.75253,                0.99929,                0.81108,                0.64923,                0.73145,                0.55645,                0.80674,                0.62925,                 0.7077,                0.47061,                0.89423,                 1.6704,                0.71588,                 1.0075,                0.00505,                0.00505,                0.00505
                    102,                0.96208,                 1.7024,                0.75051,                0.99696,                0.81379,                0.64874,                0.73174,                0.55689,                0.79889,                 0.6345,                0.70778,                0.47055,                0.89376,                 1.6701,                0.71537,                 1.0071,              0.0050005,              0.0050005,              0.0050005
                    103,                0.96143,                 1.7025,                0.74795,                0.99744,                0.81497,                0.64779,                0.73185,                0.55734,                0.80013,                0.63403,                0.70839,                0.47092,                0.89352,                   1.67,                 0.7151,                 1.0069,               0.004951,               0.004951,               0.004951
                    104,                 0.9574,                 1.6994,                0.74549,                0.99651,                0.81136,                0.64969,                  0.732,                0.55751,                0.79948,                0.63449,                0.70851,                0.47129,                0.89324,                 1.6696,                0.71469,                 1.0068,              0.0049015,              0.0049015,              0.0049015
                    105,                0.96267,                 1.6991,                0.74912,                0.99717,                 0.8111,                0.65132,                 0.7321,                 0.5575,                 0.7926,                0.63857,                0.70879,                0.47129,                0.89327,                   1.67,                0.71428,                 1.0068,               0.004852,               0.004852,               0.004852
                    106,                 0.9595,                 1.6942,                0.74535,                0.99662,                0.80837,                0.65205,                0.73232,                0.55776,                0.79057,                0.63978,                0.71032,                 0.4717,                0.89292,                 1.6699,                0.71403,                 1.0068,              0.0048025,              0.0048025,              0.0048025
                    107,                0.95804,                 1.6998,                0.74706,                0.99628,                0.80837,                0.65233,                0.73243,                0.55824,                0.79059,                0.63998,                0.70964,                0.47195,                0.89273,                 1.6696,                0.71372,                 1.0067,               0.004753,               0.004753,               0.004753
